UPI_Frequency,UPI_Spent_Monthly,UPI_Groceries,UPI_Utilities,UPI_Transport,UPI_Mobile,UPI_Rent,UPI_Ecommerce,Merchants_Paid,ATM_Withdraw_Freq,ATM_Withdraw_Amount,Loan_Repayment,RD_FD_Amount,Digital_Gold_Savings,Mutual_Fund_SIP,SHG_Contribution,Chit_Fund,Electricity_Payment_Timing,Gas_Bill,Water_Bill,DTH_Internet_Bill,EMI_Payment_Status,Shakti_Score
1,14708,470,254,451,709,26794,8929,29,5,7829,0,12949,2244,6110,1266,6310,On-Time,1394,847,1366,On-Time,488
3,31083,1379,1453,242,632,12765,18717,26,6,9316,0,932,9980,3653,1342,2388,On-Time,567,377,2255,On-Time,412
3,8988,3180,243,1122,624,3727,15769,33,1,29607,3586,27769,7690,4457,3358,9432,On-Time,1221,669,1825,On-Time,542
2,43603,361,4705,129,278,20807,18150,15,8,23182,0,43611,6077,356,2156,9856,On-Time,1125,423,1738,On-Time,518
3,42364,9501,4073,791,338,13188,1572,30,2,25865,0,16277,4174,8740,2512,1745,On-Time,1317,890,611,On-Time,574
2,21139,6601,825,771,699,27782,3890,9,1,3472,3586,1672,8031,4784,2442,6265,Late,750,920,474,On-Time,243
1,2141,6828,4556,342,51,5449,8571,19,1,6855,3586,25578,2335,899,3734,5367,On-Time,1155,971,2355,On-Time,279
1,28857,6234,917,1376,464,29121,7621,16,8,19506,3586,21046,1327,14162,1729,3,On-Time,489,503,1201,On-Time,435
2,35479,4200,1689,167,797,18424,8608,49,6,11919,0,11047,6140,1469,1112,3817,On-Time,974,986,2014,Delayed,744
3,25414,3754,1344,870,863,7623,16601,3,8,2878,0,23680,5968,10296,681,8952,On-Time,751,682,2423,On-Time,337
3,42515,633,3799,583,717,17396,6063,19,3,27634,3586,27545,4200,14507,3413,4227,On-Time,240,241,315,On-Time,596
1,36745,5578,4553,427,664,6283,13965,30,0,13203,0,92,3452,6011,819,4897,On-Time,1420,426,1345,On-Time,560
2,10398,9952,2859,566,527,5856,10133,27,4,4120,3586,2878,9215,1221,1969,2376,Late,490,392,1384,On-Time,333
1,16002,7129,3824,674,141,11447,18609,30,1,12834,0,13824,6554,13838,1188,3667,On-Time,1004,350,1473,On-Time,470
3,10462,4533,526,1782,749,10274,14993,4,0,6915,3586,21609,983,8527,1094,1423,On-Time,872,866,353,On-Time,203
3,36819,6200,3383,233,987,21258,8420,43,8,10704,3586,42493,7908,8416,3431,4162,Late,339,834,1535,Delayed,778
1,18232,1964,2197,1865,655,6498,11366,49,6,14943,3586,49441,583,1607,3540,3620,On-Time,1015,987,1946,Delayed,768
3,25544,2213,4548,1521,502,3024,893,19,0,22434,0,19805,409,4647,2256,2842,On-Time,1164,376,453,On-Time,447
1,7299,602,581,1419,789,29460,14930,39,3,22440,3586,49745,1177,14572,4906,8060,Late,1388,489,909,On-Time,662
2,40261,7852,1094,1683,521,23028,13443,35,4,24297,0,24501,3023,1477,361,8419,On-Time,661,727,2463,On-Time,671
2,31138,8497,2588,720,416,9615,17640,15,1,9102,3586,42505,1055,2109,2560,1506,On-Time,1093,784,2471,On-Time,463
1,36016,2422,3006,218,305,26956,6894,48,8,20421,0,4988,982,9048,4865,802,On-Time,428,946,2155,On-Time,736
2,5617,7972,1684,1085,434,13549,13031,7,6,14467,3586,40263,7738,620,2754,7631,On-Time,626,253,1589,On-Time,253
1,16654,7148,2329,1650,691,4898,3265,15,7,26916,3586,18093,8233,6603,1727,7726,On-Time,143,614,1086,On-Time,298
3,31665,7471,4090,1617,63,15082,12991,24,1,20053,0,31628,2367,2392,2767,6612,On-Time,136,113,2443,On-Time,496
2,11634,3981,3494,799,461,27872,5297,8,6,11689,0,34779,3277,11553,4869,6402,On-Time,731,912,1496,On-Time,322
1,14298,1496,480,485,901,13320,16427,32,3,24197,0,47652,430,4554,2423,2596,On-Time,1257,794,1287,On-Time,516
2,36667,6305,2636,1930,535,13623,13370,6,1,3724,0,46156,3303,8978,3544,3886,Late,1245,486,1974,On-Time,473
2,19480,3047,2435,375,376,13688,17199,8,6,10787,3586,941,3774,1374,2309,6640,On-Time,1284,711,1493,On-Time,238
2,3104,1094,3874,1837,386,24814,14026,27,1,17458,0,14381,6941,9967,843,8799,Late,403,475,2129,On-Time,361
1,19967,686,3169,1956,759,21127,5177,35,5,3561,0,41888,5767,4050,951,2064,On-Time,561,710,763,Delayed,520
2,20543,1736,2603,143,311,25788,16619,11,9,17107,0,32855,6519,1546,3782,1188,On-Time,443,414,1180,On-Time,352
1,43339,9123,3715,92,901,26511,6477,29,2,11550,3586,43052,8693,1228,1908,5620,On-Time,526,663,2308,Delayed,597
1,9160,3762,2539,1938,952,7674,1615,17,0,20294,0,41930,3786,12343,4436,4807,Late,454,230,1489,On-Time,456
2,33118,240,4038,829,745,3224,6138,1,2,14192,3586,45785,340,13111,4434,685,On-Time,933,881,965,Delayed,412
1,47060,1376,4727,529,139,4077,18664,1,1,16496,0,20826,3669,8605,1383,1337,On-Time,771,312,599,On-Time,316
3,22413,6197,2807,1662,889,7328,9649,49,8,18337,0,44653,4776,4543,2462,9372,Late,232,924,1454,On-Time,717
1,20668,7868,2171,229,541,9245,13230,49,1,6655,0,660,6134,14211,1855,6865,On-Time,439,910,2232,Delayed,741
1,45524,7745,3782,1045,189,29650,13646,49,1,14683,0,46321,7760,2154,4634,7982,On-Time,668,806,833,On-Time,930
1,10626,2648,1986,1710,101,3814,15386,31,0,22004,0,10987,2384,8919,3712,8334,On-Time,421,698,2244,On-Time,482
1,48432,8690,3419,968,145,4531,7614,14,4,24965,0,8070,7138,2500,1934,4463,On-Time,733,922,2453,Delayed,406
3,31127,5274,4267,1517,495,26048,11506,36,5,6637,3586,31056,4865,13261,4713,4430,On-Time,526,246,817,On-Time,705
2,9330,3146,4988,813,785,12887,7123,6,9,47,3586,44580,4412,8128,1849,9623,On-Time,1481,384,327,On-Time,278
2,12078,6941,3419,1747,52,16091,10564,27,4,563,0,31979,9540,2735,2770,4300,On-Time,1083,832,2176,On-Time,453
3,6242,9608,734,1556,240,28371,17298,1,0,25317,0,28478,4841,195,2631,2734,On-Time,739,707,1098,On-Time,123
2,22220,8445,1496,1238,135,9361,11622,14,1,2017,0,29905,1809,2223,4945,5931,On-Time,438,363,2216,On-Time,417
2,13631,4736,2798,1894,133,19672,2825,9,2,18540,0,37240,5234,11196,413,5675,On-Time,361,102,2497,Delayed,279
3,8662,827,3305,1053,537,4090,15571,7,5,19182,0,21484,5531,5737,1227,2617,Late,154,701,1148,On-Time,203
1,32873,3305,266,379,900,8681,13860,34,5,6137,0,36717,7810,2320,905,4419,On-Time,1167,956,1006,Delayed,571
3,30369,9314,3383,1398,267,29503,10879,22,4,2061,3586,17137,1496,13781,2896,2330,On-Time,544,496,1251,Delayed,484
2,22182,5763,4999,456,178,18390,19526,45,9,20846,0,28038,9070,14168,3604,6266,On-Time,1026,970,348,On-Time,788
2,9146,7842,4439,1981,962,9438,6255,9,6,14333,0,22857,3704,11637,4030,92,On-Time,441,965,573,On-Time,242
1,23017,854,3010,1962,689,7500,3264,6,3,13045,0,12176,6487,3448,1791,5766,On-Time,1493,295,1865,On-Time,295
2,29033,7429,4192,1654,279,26391,1675,36,0,23643,3586,44853,7023,5208,4106,6542,Late,686,315,366,Delayed,719
3,34384,3988,3988,1543,604,13318,2733,10,3,29486,0,18192,852,7489,2538,652,On-Time,544,109,2481,On-Time,420
3,6668,3875,3600,590,581,23870,17447,24,6,2812,0,18154,855,14058,3859,343,On-Time,1135,459,715,On-Time,390
1,7745,3051,1604,820,733,9695,1608,24,1,16562,0,5448,3249,1737,2697,2664,On-Time,1494,855,1711,On-Time,362
3,1980,9503,1126,253,113,18371,5576,39,6,19221,0,12110,7065,11709,1408,3389,On-Time,1375,733,537,Delayed,514
3,44493,2206,4303,1126,390,23572,1214,15,3,28526,0,37403,551,3670,3701,8807,On-Time,149,126,345,On-Time,567
3,30496,1422,2484,1353,891,15895,16607,28,2,12024,0,35139,6191,157,251,5362,On-Time,1051,688,352,On-Time,496
3,37229,3601,2098,672,403,22506,7463,45,3,20466,3586,38436,836,8104,1241,6718,On-Time,665,244,1556,On-Time,812
3,15275,6108,1547,1903,657,16738,5792,16,1,22409,0,23770,2615,7012,4895,9972,On-Time,194,116,1634,Delayed,440
2,8342,3378,2502,413,394,8806,19621,21,7,3806,0,49265,2638,11558,2790,2999,Late,556,643,1538,On-Time,456
3,12364,3417,4354,1675,288,29640,14166,39,8,1954,0,37954,5044,3879,1915,4863,On-Time,1147,458,1775,On-Time,589
3,3961,9537,2295,1265,504,28417,15764,44,0,13916,0,14536,2767,2081,841,7968,On-Time,1083,498,436,On-Time,569
3,41241,4820,2035,1760,655,23748,2430,41,1,9921,0,48570,4199,8078,2114,2705,On-Time,1438,699,697,Delayed,792
2,7944,5991,4138,1309,926,18962,19685,23,6,27882,0,436,4076,11999,1636,7528,On-Time,557,672,1358,On-Time,347
1,5678,3429,2812,309,474,21830,1908,16,8,19812,0,14049,317,4863,3577,822,On-Time,542,512,807,On-Time,254
3,18953,5788,4713,102,383,18161,2664,23,1,17579,0,30196,7648,6254,1709,5581,Late,671,841,1852,Delayed,419
3,3124,4897,3490,1634,120,20790,9160,2,6,20362,0,25425,609,3545,2722,3272,On-Time,1068,822,1893,On-Time,178
2,10835,3292,1924,661,353,29772,6053,10,1,21375,3586,42613,782,789,2135,7568,Late,673,719,733,On-Time,293
2,7999,8558,3470,1974,913,15541,16040,15,7,24635,0,32158,4881,6895,1616,8721,On-Time,1254,923,416,On-Time,356
2,36534,2222,4044,1865,443,11116,3976,34,7,22035,0,9857,9549,5955,4683,5623,Late,1245,762,366,On-Time,653
2,49728,3593,4174,582,529,13967,12258,25,2,4413,0,35239,798,6027,569,1312,Late,1042,297,1446,Delayed,638
3,6558,2767,4860,1596,945,12294,2815,28,9,1655,0,10401,3183,13516,946,2949,Late,1140,730,1977,On-Time,386
2,46298,6029,3553,570,225,13778,5793,8,1,16389,0,8120,5262,3821,2936,9977,On-Time,166,138,876,On-Time,382
2,15182,9346,1200,1655,449,4257,14237,38,5,8460,0,905,7758,9991,4969,5295,On-Time,902,579,2372,On-Time,613
2,45239,6159,3263,506,475,16107,4395,20,2,14874,0,1704,9390,7955,2603,2532,On-Time,970,374,1607,On-Time,516
2,33036,6936,4416,591,987,9860,1750,39,9,15096,0,47159,1769,10449,1619,8673,Late,1071,467,2166,On-Time,744
2,16369,3424,3915,785,275,26532,12067,21,0,6811,0,3624,1827,2352,3957,6188,Late,573,450,2485,On-Time,333
1,22804,6266,2312,1585,76,8422,16513,8,7,19607,0,44058,7481,3823,3545,3663,On-Time,863,341,911,On-Time,343
3,20662,8662,126,1101,838,16532,3507,16,4,11827,3586,5938,6890,11077,2967,5997,On-Time,296,231,1502,Delayed,334
2,28302,6101,3573,501,93,16240,5836,24,0,24447,0,40166,1312,13522,4674,5152,On-Time,483,910,1981,On-Time,626
1,14839,3298,1643,155,911,24483,8169,18,7,10937,0,5622,696,1545,2037,5233,On-Time,1165,307,1371,On-Time,298
1,32562,8957,561,1148,538,16650,16141,48,8,12889,3586,26595,2480,100,3855,1900,On-Time,1392,607,950,On-Time,728
1,21183,2119,173,1763,627,12648,15396,23,0,22067,3586,41911,2788,4420,1567,6227,On-Time,1047,641,2300,On-Time,508
1,7973,5956,2268,1397,799,13633,873,7,2,16757,0,13769,528,4848,4240,404,On-Time,809,775,2465,On-Time,207
2,20318,7035,4337,1110,833,22666,3336,11,9,15756,0,11894,202,10147,1576,1497,Late,982,835,1218,On-Time,305
3,48949,1400,1226,1748,966,4128,11465,2,3,16900,0,47640,8497,3571,2217,2767,Late,1422,699,348,On-Time,450
2,4767,1882,4648,1159,762,14857,17015,40,8,2788,0,17497,6940,6467,3167,9467,On-Time,1352,172,2333,On-Time,598
1,12519,9263,3236,1620,589,17824,2118,35,8,12659,3586,42429,2488,1708,3514,3079,On-Time,683,579,1984,On-Time,545
2,6084,1263,4583,363,244,17179,15421,2,6,4365,3586,13582,4307,7856,744,2107,On-Time,684,191,1314,On-Time,146
3,19784,5004,3855,1280,639,13818,5266,34,8,29678,0,49416,2549,9834,4445,4434,On-Time,727,972,1382,On-Time,686
2,26482,1048,3342,1672,803,12284,2688,21,3,29403,0,22713,4896,3891,4193,4296,On-Time,1165,220,682,On-Time,465
1,40495,2015,3843,239,714,17019,18995,35,3,1955,0,48313,8494,12224,2940,7359,On-Time,467,198,1586,On-Time,793
2,27523,5563,4861,125,297,29586,10753,11,8,2051,0,20495,7568,5664,2282,9419,On-Time,234,417,2386,On-Time,378
3,13296,1557,3967,617,119,6281,18886,16,0,17099,0,46031,6741,7072,3700,3322,On-Time,887,359,1837,On-Time,447
1,1191,3819,4533,1488,355,26530,4347,41,5,4688,0,42535,2556,6428,2297,4862,On-Time,515,342,1356,On-Time,576
2,28569,6653,4071,1285,194,16726,8419,9,9,5715,0,8469,1001,4323,3631,5792,On-Time,799,337,1463,On-Time,357
2,24187,5831,1162,496,863,7994,17366,15,2,29413,3586,47804,8252,3127,3052,9316,On-Time,566,458,1072,On-Time,449
3,9098,7294,3928,1348,228,28116,15426,45,8,19527,0,14728,9762,756,4893,8021,Late,989,803,512,On-Time,609
2,13669,1365,4298,1229,691,24027,14746,33,0,1546,0,45582,8695,5079,710,1843,On-Time,631,267,1466,On-Time,533
1,19833,5815,1112,1459,238,4009,18269,46,7,2423,0,36125,3799,5278,4681,7016,On-Time,485,290,1839,On-Time,740
1,37049,2034,1715,1037,741,7347,5202,30,2,12184,3586,35074,5873,12804,2522,2274,On-Time,763,839,635,On-Time,677
1,24905,4315,658,1376,634,21407,16715,6,5,17728,0,6543,859,10188,182,4861,On-Time,830,697,2285,On-Time,278
2,9895,3087,3732,145,796,24100,9666,39,0,4665,0,10565,7493,6148,2207,1469,On-Time,1355,761,1473,On-Time,482
2,35613,166,4194,1772,789,25764,2756,32,8,23862,3586,24485,2101,14727,3022,5636,Late,152,601,1092,Delayed,643
3,28137,2045,435,841,562,9174,14149,27,2,20247,0,5801,2302,9805,4736,9042,On-Time,239,388,417,On-Time,530
2,41054,4170,3430,301,589,9856,3873,3,3,8223,0,28156,7953,8367,2183,916,On-Time,343,784,761,On-Time,364
3,17912,8840,417,443,957,3278,4502,29,8,5731,3586,9689,8220,14310,1909,8420,On-Time,665,559,1450,On-Time,515
3,13061,842,765,1619,222,17848,17444,41,0,2022,3586,13652,4490,4333,2343,3917,On-Time,111,829,547,Delayed,508
3,19824,7360,4777,606,567,27007,1465,1,3,25944,0,26482,3095,2724,4673,6194,On-Time,1087,848,1717,On-Time,222
2,31387,309,3336,1661,413,23830,6162,38,8,2101,0,20311,7512,6231,1778,5406,On-Time,665,366,1707,On-Time,623
3,48348,491,3198,360,405,16586,7636,30,3,27284,0,20953,1917,2301,3042,5514,On-Time,417,988,1922,On-Time,614
2,3842,6992,1033,898,415,15572,17843,43,4,19818,0,47125,8299,13949,1403,6241,On-Time,1005,224,2455,On-Time,684
2,30438,2285,704,1689,378,11217,18275,26,6,5955,0,4849,2113,3721,1927,7529,On-Time,1454,576,729,On-Time,483
3,36658,8310,1630,1187,298,14722,3014,43,4,12140,0,4499,1319,2873,4996,9262,On-Time,1473,288,2470,On-Time,754
2,15343,2456,3541,1567,96,8714,15745,8,3,23593,3586,29500,7925,12819,3674,3836,On-Time,667,838,1702,On-Time,365
1,12315,1581,4809,943,417,6165,12785,37,9,29013,0,12595,8586,2372,248,4557,On-Time,816,873,356,On-Time,466
2,12625,7228,2177,1838,717,15649,14898,6,4,6640,0,39013,1639,8662,1801,3983,On-Time,376,501,436,On-Time,257
3,19673,2026,3839,1998,173,20144,11559,32,5,27161,0,17142,3967,4380,4974,7995,On-Time,355,863,1320,On-Time,589
3,43703,7603,1949,936,283,17925,10792,17,5,8625,3586,49514,6920,12969,687,2271,On-Time,393,502,1621,On-Time,599
2,36722,6422,332,200,414,8786,16429,8,8,18831,3586,27518,2885,10587,3769,4777,Late,272,118,2458,Delayed,461
3,38467,6861,4892,371,353,13028,17280,30,3,21211,0,7781,6657,12823,540,1487,On-Time,858,505,1320,Delayed,624
3,28767,7918,1357,1650,528,8572,10108,17,8,1909,0,36825,8377,4065,829,9129,On-Time,1412,815,481,On-Time,399
1,21087,4697,4598,1723,87,8588,15652,9,6,1991,0,8747,4076,8989,1238,1486,On-Time,917,930,1001,On-Time,245
1,16669,239,4033,1647,805,13815,12173,33,5,27956,0,38913,5443,8969,876,3950,Late,1223,318,1726,On-Time,558
1,15376,140,3268,216,800,17588,8727,40,6,24207,0,35191,5325,2191,4431,3369,On-Time,349,501,1501,On-Time,589
1,36072,9890,1635,512,611,19082,9692,39,3,7623,0,35692,8764,13343,1532,9284,On-Time,287,378,2175,On-Time,782
1,5761,8325,1539,268,971,18403,18699,12,4,28684,0,6861,6436,9660,4413,2660,Late,731,973,880,On-Time,243
2,1889,9157,3144,993,521,6368,2297,31,2,21735,3586,41341,5639,538,4197,8075,On-Time,697,404,915,Delayed,419
3,13958,8683,881,496,594,23748,14016,11,3,4234,0,47439,8713,10971,2558,1619,On-Time,541,982,2367,Delayed,322
1,23149,7792,4545,1736,126,24117,10155,13,9,25230,0,41042,9690,14875,3461,2563,On-Time,915,417,1763,On-Time,477
2,38839,2251,1470,822,747,20182,3270,38,8,10144,0,18829,8924,5239,2940,3140,On-Time,1467,545,975,On-Time,689
2,29645,6701,660,1610,218,26133,14406,36,8,20173,3586,44500,250,4704,178,792,On-Time,877,464,2244,On-Time,650
3,21801,424,2111,443,82,14923,13303,38,5,851,0,15946,9873,12710,2795,6784,On-Time,294,202,2409,On-Time,656
3,12806,1613,825,1196,891,28649,7272,13,5,12566,3586,21397,2527,11972,3744,5585,On-Time,368,280,1121,On-Time,342
3,5082,6687,3938,794,744,6166,17269,30,5,25703,0,5359,2315,10723,2628,238,On-Time,245,676,640,On-Time,416
3,37803,2231,150,1351,615,23596,7608,49,2,4657,0,26782,5087,5711,3691,7034,On-Time,559,778,641,On-Time,803
1,42692,3439,3706,1150,415,22417,15332,45,3,1942,0,35446,1718,3638,3605,1090,Late,646,528,1323,Delayed,772
1,15527,8361,2850,994,282,15480,17561,5,2,13209,0,742,3445,4764,1855,5022,On-Time,1392,775,1245,Delayed,169
2,6387,4264,2528,419,224,25885,16482,34,6,6312,0,30781,2097,1318,1584,3817,On-Time,645,426,828,Delayed,440
2,12425,2023,2426,1558,982,5818,6042,14,7,21454,3586,36307,7407,5082,4296,2630,On-Time,592,323,2402,On-Time,351
3,43212,2919,390,1418,928,6576,19161,28,0,28339,0,49319,7277,5446,4601,8199,On-Time,641,775,1903,On-Time,703
2,48942,6306,3566,1733,455,6141,11446,2,9,24086,0,12006,6759,10671,4776,6611,On-Time,689,188,1207,Delayed,373
3,34548,376,956,1838,177,14281,13291,30,7,22827,0,35303,2484,3859,2110,8293,Late,1210,611,2451,On-Time,636
2,13700,6683,2481,1412,363,13066,13785,16,6,4231,0,43400,2238,9631,3704,6003,Late,1027,931,1229,On-Time,436
3,25661,8569,259,561,934,7405,6292,5,0,24200,0,29198,5009,7036,3829,5600,On-Time,350,334,749,On-Time,343
1,35638,1205,4837,138,701,3990,1837,15,6,12958,0,3042,5960,14936,2841,3474,On-Time,980,706,469,On-Time,412
1,11276,9705,4119,1364,581,28897,5075,44,3,17154,0,44008,6973,14957,2962,9084,On-Time,328,243,1725,On-Time,715
1,19708,1880,3543,1305,633,15350,1091,45,7,19085,3586,32182,4693,668,3284,7993,On-Time,1315,463,2058,On-Time,630
2,36753,9868,3965,959,113,4679,2550,46,9,6421,3586,45361,1629,7648,858,3894,On-Time,300,725,2092,On-Time,820
3,23734,3942,2714,1781,617,14342,2248,29,5,1602,3586,10884,6512,10954,941,3598,On-Time,402,933,1616,On-Time,452
1,7799,2423,3102,1048,333,5573,9637,31,0,28624,0,37484,3485,13844,4488,5171,On-Time,688,319,709,Delayed,553
1,46754,3644,3457,1389,238,7247,12515,49,6,6395,0,28734,7798,7400,3158,8902,On-Time,1368,854,1768,On-Time,889
1,46110,9075,2535,1873,308,14535,3593,23,2,27919,0,41271,125,5418,2255,1984,Late,234,946,2155,On-Time,565
2,19483,2602,2495,825,840,8652,7273,2,7,759,3586,12014,1341,10089,623,329,On-Time,564,435,1621,On-Time,210
2,32960,9526,1415,556,951,15045,10062,38,0,15272,3586,4185,4738,6382,4559,9490,Late,557,183,2180,Delayed,631
2,11484,8657,2281,946,791,15657,12572,8,1,4698,0,10981,2014,13974,2199,8152,On-Time,1328,990,1717,On-Time,240
2,11929,3210,1158,1679,307,4798,8758,15,0,20523,0,16815,7526,6745,4949,8227,On-Time,396,183,853,On-Time,359
2,39806,8851,833,980,879,28992,15918,13,8,9443,0,23577,6851,8182,3270,1703,On-Time,425,171,1284,On-Time,489
2,14672,1582,1786,1750,316,10338,8880,34,4,1209,0,11106,5994,10420,1928,8879,On-Time,767,815,1738,Delayed,571
2,8286,6175,4201,744,704,6858,7121,48,7,23445,0,25119,9523,6783,2457,5957,On-Time,952,228,377,On-Time,661
2,23340,7305,1465,1820,121,6248,10639,23,9,16846,3586,33312,6030,5448,71,7510,On-Time,946,298,2328,On-Time,490
2,23911,1062,3197,1765,857,16623,13197,41,3,16469,3586,29372,1969,8814,74,1571,On-Time,737,469,2280,On-Time,630
2,34170,3787,3130,1379,592,25996,18901,38,3,17448,0,40898,7251,5475,3476,2247,On-Time,1396,929,1190,On-Time,666
3,37773,1443,1592,313,972,15878,4090,7,9,5325,0,10318,3834,8829,624,4945,On-Time,1333,653,1975,On-Time,384
1,42771,2697,2493,662,94,14496,19004,26,9,27439,3586,18495,3478,13494,2932,154,On-Time,1483,778,1478,On-Time,584
2,2125,4192,2097,640,281,9575,17655,16,8,22313,3586,853,3629,14166,3869,1928,On-Time,1297,762,2207,On-Time,278
1,16031,7603,1171,168,261,5589,18931,7,8,17969,0,9967,7500,12827,2484,3729,On-Time,524,486,1501,On-Time,232
3,8112,9011,701,1152,541,27675,13463,39,1,21045,3586,35201,578,10171,3527,9966,On-Time,505,322,2482,On-Time,571
1,27074,2703,2695,932,781,9307,2550,20,8,7063,0,48551,778,1320,1337,57,On-Time,642,293,497,Delayed,453
2,12139,5530,4944,1558,949,11890,16384,1,6,1700,3586,43259,8690,13531,4420,8447,On-Time,108,171,1286,On-Time,310
2,9419,2690,2128,1832,445,26461,640,13,9,14642,0,22723,3156,1284,4459,1303,On-Time,372,370,1946,Delayed,296
3,32803,3273,2599,1066,989,25333,5048,32,6,2045,0,20424,7123,14025,1051,421,On-Time,1263,739,1781,On-Time,619
2,34833,7725,1361,753,727,9615,18243,15,6,889,0,26376,3933,9305,899,3534,On-Time,388,660,1352,On-Time,468
2,21948,6141,2778,1093,318,14416,1338,32,6,11550,0,14139,3857,5717,3355,2940,Late,323,350,632,On-Time,506
3,19503,2595,124,387,546,16633,10512,25,3,23709,3586,8965,571,1936,1121,5304,On-Time,1053,807,1154,On-Time,404
2,15430,586,3654,1603,831,23655,2110,17,8,6063,3586,19130,9305,4872,1276,5341,On-Time,269,404,731,On-Time,324
1,32361,5531,1665,1334,747,21973,2873,3,8,4636,0,16479,2907,11111,1781,5630,On-Time,430,522,539,On-Time,273
3,41632,9134,799,305,788,9251,8592,43,7,2523,0,29101,2485,12476,1573,2710,On-Time,195,475,2094,On-Time,828
2,29648,6432,4790,574,643,10134,6078,18,9,29437,3586,43420,9413,8101,4814,6767,Late,1383,633,1121,Delayed,521
3,6097,2873,2833,966,745,24823,2528,44,6,24916,0,44031,8254,11209,1450,473,On-Time,290,766,797,On-Time,634
1,33135,9830,3272,1016,805,13772,18114,49,5,254,3586,46337,7281,9832,1789,4446,On-Time,893,352,1472,On-Time,805
2,49974,6128,2684,563,263,9382,9718,11,3,4814,0,49763,5402,11225,4881,1082,On-Time,1250,918,1564,On-Time,552
1,32723,4349,4365,1000,729,18343,11920,5,0,10591,0,11557,4622,10377,109,9509,Late,451,959,1798,On-Time,332
1,16796,1244,882,1383,512,20207,12031,45,3,11946,3586,47170,2355,865,2568,9993,On-Time,1279,953,2145,On-Time,677
1,30072,2157,1726,1555,312,20949,8118,27,7,13054,0,28184,5641,10874,2405,5862,On-Time,1089,574,1006,Delayed,604
2,17032,5115,1761,456,60,10053,12370,32,5,12879,0,48413,7832,12243,4102,728,On-Time,311,612,1404,On-Time,643
2,29074,5134,3527,1055,155,13567,2800,45,8,22127,0,41897,854,13521,1004,6317,On-Time,1137,934,1715,Delayed,773
1,40974,4036,4139,320,761,12031,2152,11,2,9446,0,6679,2599,12523,3992,543,On-Time,278,339,790,On-Time,390
3,43208,5834,2926,1506,347,22951,10648,22,1,16771,0,13669,4637,7952,3210,3075,On-Time,1018,743,1089,On-Time,533
2,14735,5576,2791,1373,285,18141,9753,17,9,12235,3586,48467,5798,9084,827,5755,On-Time,287,926,426,On-Time,381
3,49528,6850,3946,1964,850,14930,1102,47,6,7576,0,21961,5753,10143,4659,4260,On-Time,664,791,1651,Delayed,894
2,36267,523,249,1621,539,21764,8797,26,5,804,0,21424,3179,2276,4979,7296,On-Time,1331,477,1922,On-Time,588
